isrc,title,artist
USUM71915731,TAKE WHAT YOU WANT,POST MALONE/OSBOURNE/SCOTT
USUM71416339,SANTA TELL ME,ARIANA GRANDE
GBUM71806109,POLAROID,JONAS BLUE/LIAM PAYNE/LENNON
GB2DY2000532,5AM,M HUNCHO & NAFE SMALLZ
USUM72007941,ROCKSTAR,DABABY FT RODDY RICCH
GBUM71804352,LONGSHOT,CATFISH & THE BOTTLEMEN
GB1101801365,I WANT YOU TO FREAK,RAK-SU
QZJRC1945204,ILY (I LOVE YOU BABY),SURF MESA FT EMILEE
USUM71819361,THANK U NEXT,ARIANA GRANDE
QM4TW2182337,UK HUN,UNITED KINGDOLLS
GBHMU2000063,CONFETTI,LITTLE MIX
USSM22101801,I GUESS I'M IN LOVE,CLINTON KANE
USQ4E2204040,PEACHES,JACK BLACK
USUM72120301,ENEMY,IMAGINE DRAGONS/JID/LEAGUE OF
SEBGA2000676,WHAT'S LOVE GOT TO DO WITH IT,KYGO & TINA TURNER
USUV72202087,HOLD MY HAND,LADY GAGA
GBAHS2101279,I WISH,JOEL CORRY FT MABEL
GBUM72005576,REGARDLESS,RAYE & RUDIMENTAL
USUM71918343,YOU SHOULD BE SAD,HALSEY
GB1302000010,STILL DISAPPOINTED,STORMZY
ZZOPM2004171,6 FOR 6,CENTRAL CEE
USUM72014954,FORGET ME TOO,MACHINE GUN KELLY
QZ22B1859046,IN MY MIND,DYNORO & GIGI D'AGOSTINO
USSM12203462,THOUSAND MILES,KID LAROI
UK3EM2000025,FOUR NOTES - PAUL'S TUNE,PAUL HARVEY & BBC PHILHARMONIC
USUV72006721,POSITIONS,ARIANA GRANDE
USRC11803180,BETTER,KHALID
USUG12101253,GOOD 4 U,OLIVIA RODRIGO
TCAEQ2083509,SHUT UP MY MOMS CALLING,HOTEL UGLY
GBCEL1800169,FOUR OUT OF FIVE,ARCTIC MONKEYS
USUM72013367,THE WOO,POP SMOKE/50 CENT/RODDY RICCH
UK6KW2100809,SAUSAGE ROLLS FOR EVERYONE,LADBABY FT SHEERAN/ELTON JOHN
USRC11801773,THIS IS AMERICA,CHILDISH GAMBINO
GBAHT1900332,SHOCKWAVE,LIAM GALLAGHER
USRC12100544,YOU RIGHT,DOJA CAT & WEEKND
GBBBM8400019,LAST CHRISTMAS,WHAM
USUM71800463,THE MIDDLE,ZEDD/MAREN MORRIS/GREY
GBK3W1901072,ME & YOU TOGETHER SONG,1975
GBARL1801571,NOTHING BREAKS LIKE A HEART,MARK RONSON FT MILEY CYRUS
GBUM72205967,MEL MADE ME DO IT,STORMZY
GBARL2202424,HERE,TOM GRENNAN
USQX92003025,MOOD,24KGOLDN FT IANN DIOR
USSM12104773,DON'T GO YET,CAMILA CABELLO
USSM12300154,RIVER,MILEY CYRUS
GBAYE2000504,BURNING,GRM DAILY/M HUNCHO/DUTCHAVELLI
GBARL2000845,ONLY YOU FREESTYLE,HEADIE ONE & DRAKE
USUG12204898,JIMMY COOKS,DRAKE FT 21 SAVAGE
USAT21811523,ZEZE,KODAK BLACK/SCOTT/OFFSET
GBARL2300300,MIRACLE,CALVIN HARRIS/ELLIE GOULDING
USUM72001323,FOREVER,JUSTIN BIEBER/MALONE/CLEVER
GBAHS2001193,AFTERGLOW,ED SHEERAN
QZES62254244,10 THINGS I HATE ABOUT YOU,LEAH KATE
GBAHT2200492,AFRAID TO FEEL,LF SYSTEM
USRC12204584,KILL BILL,SZA
GBUM72204532,THIS IS WHAT I MEAN,STORMZY
USUM71813347,THE RINGER,EMINEM
GBAHS1800640,BABY,CLEAN BANDIT/MARINA/LUIS FONSI
GBAHS1800328,SOLO,CLEAN BANDIT FT DEMI LOVATO
GBUM72000031,BOYFRIEND,MABEL
SE5R71900203,HEAVEN,AVICII
GBUM71902928,HARDER,JAX JONES & BEBE REXHA
DEUM71806295,GRACE,LEWIS CAPALDI
GB2DY1801005,AIRFORCE,DIGDAT FT KREPT & KONAN/K-TRAP
USUV71803661,SUNFLOWER,POST MALONE FT SWAE LEE
GBUM72108072,THE CHRISTMAS SONG,OLIVIA DEAN
GB5KW2104422,USED TO THIS,WILKINSON & ISSEY CROSS
GBBBM9602007,3 LIONS,BADDIEL/SKINNER/LIGHTNING SEED
GBUM71906030,PAPER CUTS,DAVE
GBUM71901344,SIXTEEN,ELLIE GOULDING
USAT21802284,LET ME DOWN SLOWLY,ALEC BENJAMIN
USRC12200967,CHAOTIC,TATE MCRAE
GBAHS2101426,MERRY CHRISTMAS,ED SHEERAN & ELTON JOHN
GBARL1901201,DON'T RUSH,YOUNG T & BUGSEY FT HEADIE ONE
USUG11902961,NICE TO MEET YA,NIALL HORAN
USWB12203742,DIE FOR YOU,JOJI
UKQNW2100001,ANXIOUS,AJ TRACEY
USUM72004300,ALICE,LADY GAGA
USUM72102636,PEACHES,JUSTIN BIEBER/CAESAR/GIVEON
USUG12103692,ALL TOO WELL (TAYLOR'S VERSION),TAYLOR SWIFT
GBAHS1900713,BEAUTIFUL PEOPLE,ED SHEERAN FT KHALID
GB2DY2000594,CHINGY (IT'S WHATEVER),DIGGA D
USUM71813833,RAP DEVIL,MACHINE GUN KELLY
GBARL2000118,WINE,B YOUNG
USQX91802379,ELECTRICITY,SILK CITY FT DUA LIPA
QMJMT2103632,A M A R I,J COLE
USUM71922079,THE TAKE,TORY LANEZ FT CHRIS BROWN
USUM72021170,ROCKIN' AROUND THE CHRISTMAS TREE,JUSTIN BIEBER
USUG12004749,DRIVERS LICENSE,OLIVIA RODRIGO
USUM71813341,FALL,EMINEM
USSM12006376,HOLIDAY,LIL NAS X
QM6MZ1960806,BULLET FROM A GUN,SKEPTA
DEUM71905214,LOSE CONTROL,MEDUZA/BECKY HILL/GOODBOYS
UKRVV1900235,CHARMER,N-DUBZ
USRC17002573,FELIZ NAVIDAD,JOSE FELICIANO
USWBV2100581,BUILD A BITCH,BELLA POARCH
USUG12004707,NO BODY NO CRIME,TAYLOR SWIFT FT HAIM
CYA112001130,10:35,TIESTO & TATE MCRAE
USAT21703896,TRUTH HURTS,LIZZO
USUM72210708,NONSENSE,SABRINA CARPENTER
GBKPL2204171,GOLDEN HOUR,JVKE
GBLFP1598248,THIAGO SILVA,DAVE & AJ TRACEY
USUM72018522,WONDER,SHAWN MENDES
USUG11801651,HAPPIER,MARSHMELLO FT BASTILLE
GBAHS1901404,AUDACITY,STORMZY FT HEADIE ONE
GBARL2001273,TEARDROPS,BRING ME THE HORIZON
GBUM71906426,HEAVEN ON MY MIND,BECKY HILL & SIGALA
GBARL1901273,NEW DIOR,DIGDAT FT D-BLOCK EUROPE
USUM72116304,OFF THE GRID,KANYE WEST
USSM12206682,STAYING ALIVE,DJ KHALED/DRAKE/LIL BABY
GBARL1701372,SHOTGUN,GEORGE EZRA
USAT22005111,WAP,CARDI B FT MEGAN THEE STALLION
GBUM71902909,I SPY,KREPT/KONAN/HEADIE ONE/K-TRAP
UKQNW1900003,FLOSS,AJ TRACEY FT MOSTACK & NOT3S
GBUM72202737,1989,AITCH
UKQNW1800001,LO(V/S)ER,AJ TRACEY
USUM71808577,SWEETENER,ARIANA GRANDE
QMRSZ1900492,EARTH,LIL DICKY
USSM22202811,FLOWERS,MILEY CYRUS
USUM72213724,TV,BILLIE EILISH
GBUM72102587,LEARNING CURVE,AITCH
USSM12200612,AS IT WAS,HARRY STYLES
USSM12211463,RED FLAGS,MIMI WEBB
USSM12105732,THATS WHAT I WANT,LIL NAS X
GBARL2101712,COMING FOR YOU,SWITCHOTR FT A1 & J1
USUG12002838,EXILE,TAYLOR SWIFT FT BON IVER
QZHN72119462,MASK,DREAM
GBAHS1800454,THURSDAY,JESS GLYNNE
USRC12000832,YOU BROKE ME FIRST,TATE MCRAE
USAT21811534,THE GREATEST SHOW,PANIC AT THE DISCO
QMKHM1600219,MASTER OF PUPPETS,METALLICA
GBUM72106169,BETTER DAYS,NEIKED/MAE MULLER/POLO G
USUM72105922,GETTING OLDER,BILLIE EILISH
GBAHS1900855,CROWN,STORMZY
USUM72000788,GODZILLA,EMINEM FT JUICE WRLD
US23A1500072,BLUE LIGHTS,JORJA SMITH
KRA402200030,SHUT DOWN,BLACKPINK
USSM11914257,MY OH MY,CAMILA CABELLO FT DABABY
GBUV72002113,MISS ME,MOSTACK FT AJ TRACEY
USUG12202337,WORDS,ALESSO/ZARA LARSSON
USUG11904422,WHAT A MAN GOTTA DO,JONAS BROTHERS
USUM71920461,CLOSED ON SUNDAY,KANYE WEST
USUM72305206,CHEMICAL,POST MALONE
USUM71805289,NO TEARS LEFT TO CRY,ARIANA GRANDE
USA2P2251898,ON THE STREET,J-HOPE & J COLE
GBUM71801474,FAMILY TREE,RAMZ
USA2P2120718,LOVE TONIGHT,SHOUSE
GBAHS2100478,KISS MY (UH OH),ANNE-MARIE & LITTLE MIX
GBAHT1901303,BREAK MY HEART,DUA LIPA
USAT22100017,ASTRONAUT IN THE OCEAN,MASKED WOLF
GBMMW2200407,PRINCE ANDREW IS A SWEATY N**CE,K**TS
GBUM72006210,FOREVER YOUNG,BECKY HILL
USUM72206227,I AIN'T WORRIED,ONEREPUBLIC
GBUM71902321,GUTEN TAG,HARDY CAPRIO & DIGDAT
USSM10905166,SLEIGH RIDE,RONETTES
USUM72020426,MOTIVE,ARIANA GRANDE FT DOJA CAT
USUYG1403104,PERU,FIREBOY DML & ED SHEERAN
GBAHS2100547,DRIVE,CLEAN BANDIT/TOPIC/WES NELSON
USUG12002097,BAD BOY,JUICE WRLD FT YOUNG THUG
USUG11900610,HERE WITH ME,MARSHMELLO FT CHVRCHES
GBUM71905731,RIVER,ELLIE GOULDING
USUM72208318,THE HEART - PT 5,KENDRICK LAMAR
QM24S1703585,MO BAMBA,SHECK WES
USUM72013356,FOR THE NIGHT,POP SMOKE/LIL BABY/DABABY
GB2DY2000274,30,AITCH
GB1102100076,BURNER ON DECK,FREDO FT POP SMOKE & YOUNG ADZ
USUG12000658,SAVE YOUR TEARS,WEEKND
USUG12300831,LAST NIGHT,MORGAN WALLEN
USUYG1221109,FALLING,TREVOR DANIEL
GBCEN2000164,FRIDAY,RITON/NIGHTCRAWLERS/MUFASA
GBUM71803212,BEST LIFE,HARDY CAPRIO FT ONE ACEN
DEUM72203211,POINTLESS,LEWIS CAPALDI
USRC11901529,MOTHER'S DAUGHTER,MILEY CYRUS
GBAHS1800025,FRIENDS,MARSHMELLO & ANNE-MARIE
USSM11912586,GOLDEN,HARRY STYLES
GBAYE1800032,MAN DOWN,SHAKKA FT ALUNAGEORGE
USRC12100442,2055,SLEEPY HALLOW
USUM71908268,HOMICIDE,LOGIC FT EMINEM
USUM71813204,I'LL NEVER LOVE AGAIN,LADY GAGA & BRADLEY COOPER
GBSXS1700182,FIRST TIME,M-22 FT MEDINA
UK8E21801201,DANCING IN THE MOONLIGHT,JUBEL FT NEIMY
QM6MZ1960810,WHAT DO YOU MEAN,SKEPTA FT J HUS
GB1301900546,CROSS ME,ED SHEERAN/CHANCE/PNB ROCK
DEUM71905868,BEFORE YOU GO,LEWIS CAPALDI
USAT21801431,I LIKE IT,CARDI B/BAD BUNNY/J BALVIN
ZZOPM2002123,WAZE,SKEPTA/CHIP/YOUNG ADZ
GBUM71802109,RISE,JONAS BLUE FT JACK & JACK
USRC11900004,TALK,KHALID
USUM71900770,BURY A FRIEND,BILLIE EILISH
GBARL1900030,COMFORTABLE,YUNGEN FT DAPPY
GBUM72000217,TEQUILA,JAX JONES/SOLVEIG/RAYE/EUROPA
USATV2100374,UP,CARDI B
GBARL2001158,PARLEZ-VOUS ANGLAIS,HEADIE ONE FT AITCH
UKWLG2300016,BABY DON'T HURT ME,D GUETTA/ANNE-MARIE/COI LERAY
QMBZ92051791,LIFE GOES ON,BTS
QMJMT2103643,P R I D E . I S . T H E . D E V I L,J COLE & LIL BABY
GBAYE0302805,HAPPY XMAS (WAR IS OVER),JOHN & YOKO/PLASTIC ONO BAND
GBUM71902012,SHINE GIRL,MOSTACK FT STORMZY
USSM12002217,THE SCOTTS,SCOTTS/TRAVIS SCOTT/KID CUDI
GB1302001140,WE'RE GOOD,DUA LIPA
GBARL2000038,PLAY PLAY,J HUS FT BURNA BOY
USUM72100805,SKIN,SABRINA CARPENTER
GBARL2201902,MESSY IN HEAVEN,VENBEE & GODDARD
USSM12302165,NEVER FELT SO ALONE,LABRINTH
GBAWV9800958,VINDALOO,FAT LES
DEUM71900680,HOLD ME WHILE YOU WAIT,LEWIS CAPALDI
GB1101901175,BUSS DOWN,AITCH FT ZIEZIE
GBARL2201626,ALL THESE NIGHTS,TOM GRENNAN
USSM12300443,LOVE AGAIN,KID LAROI
TCAEA1802695,SUNDAY BEST,SURFACES
USUM71905581,MONOPOLY,ARIANA GRANDE & VICTORIA MONET
GB2DY2200727,CONOR MCGREGOR,D-BLOCK EUROPE
USSM12202421,IN MY HEAD,LIL TJAY
USUG12208606,CIRCO LOCO,DRAKE & 21 SAVAGE
QMRSZ2000116,WAKE UP CALL,KSI FT TRIPPIE REDD
GBAHS1800522,ALL I AM,JESS GLYNNE
USUM72014720,MY EX'S BEST FRIEND,MACHINE GUN KELLY & BLACKBEAR
QM4TX2221661,SNAP,ROSA LINN
GBAYE2000596,DAISY,ASHNIKKO
GBK3W1800807,TOOTIMETOOTIMETOOTIME,1975
GB2DY2300001,DAVE FLOW,FREDO
USAT22203487,CHURCHILL DOWNS,JACK HARLOW FT DRAKE
USUM71917357,STUPID LOVE,LADY GAGA
GBUM72202305,WHISTLE,JAX JONES/CALUM SCOTT
GB2DY2100788,RED LIGHT GREEN LIGHT,DIGGA D
USAT21907355,BOSS BITCH,DOJA CAT
QMRSZ2000908,CAP,KSI FT OFFSET
USUG12205734,LAVENDER HAZE,TAYLOR SWIFT
GBUM72006953,MONEY TALKS,FREDO FT DAVE
GBAHT1901121,DON'T START NOW,DUA LIPA
QZA742002191,GOOBA,6IX9INE
GB1102000834,CIRCLES,DENO/OFB BANDOKAY/DOUBLE LZ
QMCE31902585,SUICIDAL,YNW MELLY
QMBZ91970052,KISS AND TELL,AJ TRACEY & SKEPTA
USQX92202485,TRUE LOVE,KANYE WEST & XXXTENTACION
GBARL1800185,FINE GIRL,ZIEZIE
USA370509585,MONSTER MASH,BOBBY BORIS PICKETT
GBARL2000040,REPEAT,J HUS FT KOFFEE
DECE72003523,YOUR LOVE (9PM),ATB/TOPIC/A7S
USUYG1225643,BAD,XXXTENTACION
USAT21811535,A MILLION DREAMS,PINK
ZZOPM2240774,LA LEAKERS FREESTYLE,CENTRAL CEE
USSM12300149,JADED,MILEY CYRUS
GBCCS8401051,WONDERFUL CHRISTMASTIME,PAUL MCCARTNEY
QMBZ91949584,BREAK UP BYE BYE,CAST OF RUPAUL'S DRAG RACE UK
USSM12004756,FRANCHISE,TRAVIS SCOTT/YOUNG THUG/MIA
USUV72200420,DO WE HAVE A PROBLEM,NICKI MINAJ & LIL BABY
QM6P41954566,BE HONEST,JORJA SMITH FT BURNA BOY
GBUV72300217,I WROTE A SONG,MAE MULLER
GBK3W1901077,IF YOU'RE TOO SHY (LET ME KNOW),1975
GB1102201841,50S,HEADIE ONE
QMRSZ2100337,PATIENCE,KSI FT YUNGBLUD & POLO G
GBARL1801252,BACK & FORTH,MK/JONAS BLUE/BECKY HILL
USUM71915699,CIRCLES,POST MALONE
GBARL1901278,SELF-OBSESSED,DA BEATFREAKZ FT K&K/DBE/DENO
GB2DY2200443,BLACK BEATLES,D-BLOCK EUROPE
USUM72000789,DARKNESS,EMINEM
GB2DY2000671,STOP CRYING YOUR HEART OUT,BBC CHILDREN IN NEED
GB1102200291,PROPELLER,JAE5 FT DAVE & BNXN
USSM12100532,MONTERO (CALL ME BY YOUR NAME),LIL NAS X
USSM12206231,ALIEN SUPERSTAR,BEYONCE
GB2DY2200728,SHE'S NOT ANYONE,D-BLOCK EUROPE
GBARL2100088,SIBERIA,HEADIE ONE FT BURNA BOY
USUM72201508,MAYBE,MACHINE GUN KELLY/BRING ME THE
USUM71814031,I LOVE IT,KANYE WEST & LIL PUMP
QZTB52268087,PEOPLE,LIBIANCA
ZZOPM2110165,OBSESSED WITH YOU,CENTRAL CEE
GBAHS1800684,LET YOU LOVE ME,RITA ORA
GBARL2000962,OBEY,BRING ME THE HORIZON/YUNGBLUD
USUG11904306,NO JUDGEMENT,NIALL HORAN
GBUM71903212,THIS IS REAL,JAX JONES FT ELLA HENDERSON
USAT22100346,HEARTBREAK ANTHEM,GALANTIS/GUETTA/LITTLE MIX
GBAHS1800094,2002,ANNE-MARIE
USSM12200610,LATE NIGHT TALKING,HARRY STYLES
GBAHS2100719,THE JOKER AND THE QUEEN,ED SHEERAN
UKXN22103133,ALONE WITH YOU,ARZ
USUYG1198481,TASTE,TYGA FT OFFSET
GBUM71903241,HOME P*SSY,D-BLOCK EUROPE
USWD11994667,INTO THE UNKNOWN,IDINA MENZEL & AURORA
GBARL2201770,CAN'T BE US,HEADIE ONE/CADABRA/BANDOKAY
ZZOPM2119910,DAILY DUPPY,CENTRAL CEE
USRC11800871,LET ME,ZAYN
QZFZ52145391,PAIN,PINKPANTHERESS
GBUM71906699,DON'T NEED LOVE,220 KID & GRACEY
GBAAP9400679,STAY ANOTHER DAY,EAST 17
GBLLT1904989,LET NATURE SING,RSPB
QM6MZ1917908,BOY WITH LUV,BTS & HALSEY
GBBKS1500217,WHEN WE WERE YOUNG,ADELE
USUM71923481,RARE,SELENA GOMEZ
USSM12005343,MR RIGHT NOW,21 SAVAGE/METRO BOOMIN/DRAKE
GBKPL2013050,GO,CAT BURNS
USSM12201842,BAM BAM,CAMILA CABELLO FT ED SHEERAN
USUM72019412,POSITIONS,ARIANA GRANDE
GBUM71800366,YOUNGBLOOD,5 SECONDS OF SUMMER
UKJM21900003,KILOS,BUGZY MALONE FT AITCH
isrc,title,artist
USRC12003345,HEART OF GLASS,MILEY CYRUS
GBAHS2200993,HISTORY,JOEL CORRY & BECKY HILL
GB1302001073,NO TIME FOR TEARS,NATHAN DAWE & LITTLE MIX
GBARL2100658,WANDSWORTH TO BULLINGDON,FREDO FT HEADIE ONE
QZHN32199953,LOVE NWANTITI (AH AH AH),CKAY
ZZOPM2118749,COLD SHOULDER,CENTRAL CEE
GBAHS2001192,DON'T PLAY,ANNE-MARIE/KSI/DIGITAL FARM
NLZ541900734,POST MALONE,SAM FELDT FT RANI
USCM51800077,NICE FOR WHAT,DRAKE
GB2DY1900071,KITCHEN KINGS,D-BLOCK EUROPE
QZNWR2058828,BELIEVE ME,NAVOS
GB1102300013,REACT,SWITCH DISCO & ELLA HENDERSON
USQE91500820,MORAL OF THE STORY,ASHE
USMC15848998,ROCKIN' AROUND THE CHRISTMAS TREE,BRENDA LEE
USUM71817583,I FOUND YOU,BENNY BLANCO & CALVIN HARRIS
USUG12207318,POLAND,LIL YACHTY
USUG12300779,HEAVEN,NIALL HORAN
GBUM72101293,STARSTRUCK,YEARS & YEARS
UKQNW1800013,LADBROKE GROVE,AJ TRACEY
USUG12101249,FAVORITE CRIME,OLIVIA RODRIGO
USSM11901941,OLD TOWN ROAD,LIL NAS X
RUB421901499,ROSES,SAINT JHN
GBHMU2000049,YOU TAUGHT ME WHAT LOVE IS,BETH PORCH
GBUM72201663,ALL FOR YOU,CIAN DUCROT
GBK3W2202317,I'M IN LOVE WITH YOU,1975
USSM11914962,LIFE IS GOOD,FUTURE FT DRAKE
USAT21700437,FEEL IT STILL,PORTUGAL THE MAN
USUM71805184,BETTER NOW,POST MALONE
GBARL2000186,WAR,MASTERMIND FT BANDOKAY
USAT21811495,MONEY,CARDI B
USUM71900881,365,ZEDD FT KATY PERRY
USSM11903536,JEALOUS,DJ KHALED/BROWN/LIL WAYNE
GB2DY2100807,NO COMPETITION,D-BLOCK EUROPE
USCM51800208,DON'T MATTER TO ME,DRAKE FT MICHAEL JACKSON
